Zone,Population,Variation,Exportation totale,Importations Totale,Consommation Totale,Production,Dispo intérieure poulet,Exportations poulet,Importations poulet,Consommation poulet,Stabilité politique,Pib (%),TDI,TAS
Malawi,17670196,12.870151525200967,203000000.0,256000000.0,12042000000.0,26100000000.0,98000000.0,48000000.0,0.0,91000000.0,-0.21,19.0,1.2610837438423645,59.320197044334975
Maldives,496402,19.976752712519282,91000000.0,281000000.0,250000000.0,153000000.0,12000000.0,0.0,12000000.0,7000000.0,0.13,8.0,3.087912087912088,2.7472527472527473
Mali,18512430,13.68234208042921,211000000.0,1518000000.0,11464000000.0,17790000000.0,52000000.0,-16000000.0,1000000.0,52000000.0,-1.72,9.0,7.194312796208531,54.33175355450237
Malte,437933,3.681841742915005,56000000.0,425000000.0,391000000.0,196000000.0,14000000.0,-105000000.0,9000000.0,12000000.0,1.04,11.0,7.589285714285714,6.982142857142857
Maroc,35581255,6.57468377661214,3666000000.0,9451000000.0,24916000000.0,34474000000.0,746000000.0,-34000000.0,3000000.0,746000000.0,-0.49,6.0,2.578014184397163,6.7965084560829245
Maurice,1264499,0.8707796526529454,694000000.0,944000000.0,687000000.0,4336000000.0,49000000.0,-127000000.0,2000000.0,48000000.0,0.94,8.0,1.3602305475504324,0.9899135446685879
Mauritanie,4282570,13.45021797658882,799000000.0,1751000000.0,1955000000.0,1796000000.0,22000000.0,2000000.0,24000000.0,22000000.0,-1.01,5.0,2.1914893617021276,2.4468085106382977
Mexique,124777324,6.0132472467513365,25255000000.0,44688000000.0,92909000000.0,183278000000.0,4219000000.0,-127000000.0,972000000.0,4058000000.0,-0.71,7.0,1.7694713918036034,3.67883587408434
Mongolie,3113786,9.284131921718455,66000000.0,423000000.0,1696000000.0,1679000000.0,9000000.0,-7000000.0,10000000.0,9000000.0,0.49,2.0,6.409090909090909,25.696969696969695
Monténégro,627563,0.26100965162063944,26000000.0,506000000.0,674000000.0,387000000.0,10000000.0,-52000000.0,8000000.0,10000000.0,0.5,11.0,19.46153846153846,25.923076923076923
Mozambique,28649018,13.21634828809839,610000000.0,2878000000.0,14459000000.0,19463000000.0,116000000.0,-14000000.0,24000000.0,103000000.0,-0.23,10.0,4.718032786885246,23.70327868852459
Myanmar,53382523,3.688134035927832,3401000000.0,3910000000.0,31247000000.0,70428000000.0,1666000000.0,-118000000.0,3000000.0,1621000000.0,-1.14,1.0,1.1496618641576006,9.187591884739783
Namibie,2402633,8.650925880065742,849000000.0,900000000.0,1362000000.0,2026000000.0,28000000.0,-28000000.0,29000000.0,28000000.0,0.0,19.0,1.0600706713780919,1.6042402826855124
Népal,27632681,2.3288294031259578,87000000.0,3299000000.0,19069000000.0,26038000000.0,58000000.0,-7000000.0,0.0,55000000.0,-1.13,21.0,37.91954022988506,219.183908045977
Nicaragua,6384846,6.301169989064729,1688000000.0,1106000000.0,3166000000.0,12022000000.0,138000000.0,-71000000.0,6000000.0,138000000.0,-0.25,3.0,0.6552132701421801,1.8755924170616114
Niger,21602382,17.62385277697618,311000000.0,1150000000.0,10842000000.0,14423000000.0,21000000.0,-2000000.0,3000000.0,20000000.0,-1.32,8.0,3.697749196141479,34.861736334405144
Nigéria,190873244,12.387514092860501,717000000.0,9818000000.0,120242000000.0,200878000000.0,202000000.0,-3000000.0,0.0,192000000.0,-2.09,-7.0,13.693165969316597,167.70153417015342
Norvège,5296326,5.336095247913368,3513000000.0,5080000000.0,4951000000.0,8263000000.0,102000000.0,-64000000.0,2000000.0,101000000.0,1.35,8.0,1.4460575007116425,1.4093367492171933
Nouvelle-Calédonie,277150,5.9523723615370585,5000000.0,149000000.0,157000000.0,89000000.0,11000000.0,-138000000.0,9000000.0,11000000.0,0.0,5.0,29.8,31.4
Nouvelle-Zélande,4702034,4.967573607506865,24926000000.0,2477000000.0,3464000000.0,28659000000.0,168000000.0,-52000000.0,1000000.0,164000000.0,1.45,9.0,0.09937414747653053,0.1389713552114258
Oman,4665928,25.030369092707815,1005000000.0,3473000000.0,3314000000.0,1845000000.0,114000000.0,-52000000.0,126000000.0,101000000.0,0.46,7.0,3.455721393034826,3.297512437810945
Ouganda,41166588,16.05157075441862,1973000000.0,1766000000.0,22210000000.0,29825000000.0,66000000.0,-6000000.0,0.0,62000000.0,-0.84,6.0,0.8950836289913837,11.256969082615306
Pakistan,207906209,9.920858111553569,8155000000.0,8662000000.0,97663000000.0,197409000000.0,1282000000.0,-22000000.0,2000000.0,1218000000.0,-2.6,9.0,1.0621704475781728,11.975843041079093
